Frame@10hz,"('Pose ', '1', '2', 'delta pixels')","('Pose ', '1', '3', 'delta pixels')","('Pose ', '1', '4', 'delta pixels')","('Pose ', '1', '5', 'delta pixels')","('Pose ', '2', '3', 'delta pixels')","('Pose ', '2', '4', 'delta pixels')","('Pose ', '2', '5', 'delta pixels')","('Pose ', '3', '4', 'delta pixels')","('Pose ', '3', '5', 'delta pixels')","('Pose ', '4', '5', 'delta pixels')","('Pose vector ', '1', '2', 'delta degrees')","('Pose vector ', '1', '3', 'delta degrees')","('Pose vector ', '1', '4', 'delta degrees')","('Pose vector ', '1', '5', 'delta degrees')","('Pose vector ', '2', '3', 'delta degrees')","('Pose vector ', '2', '4', 'delta degrees')","('Pose vector ', '2', '5', 'delta degrees')","('Pose vector ', '3', '4', 'delta degrees')","('Pose vector ', '3', '5', 'delta degrees')","('Pose vector ', '4', '5', 'delta degrees')","('Pose ', '1', 'vs prev. time', 'delta pixels')","('Pose ', '2', 'vs prev. time', 'delta pixels')","('Pose ', '3', 'vs prev. time', 'delta pixels')","('Pose ', '4', 'vs prev. time', 'delta pixels')","('Pose ', '5', 'vs prev. time', 'delta pixels')","('HDBSCAN', 'Assignment')","('HDBSCAN*SOFT', 'Assignment')"
10,43.44418722351853,327.8672398004219,292.79100436390996,427.08217948186444,289.81823447286195,249.3485118411452,383.6382773801788,146.30824549782753,199.66341387229338,134.30153569867267,8.049116928532385e-15,0.0,0.0,5.93275428784068e-15,0.0,1.0875631992202095e-14,2.7675615705408108e-15,3.885780586188048e-15,0.0,9.103164728095636e-15,3.1155633628543455e-14,0.0,2.8171909249863347e-14,0.0,1.609823385706477e-14,8,8
11,44.15066137739907,323.9541697605907,307.7808682216984,422.89477910721956,287.5024466584102,263.70489557834634,378.83195162486817,158.9502487121228,208.24126175471545,115.14486522948135,-0.178214729210742,0.012198901023079724,-0.5626136785876187,0.01491536254786917,0.12014693178961494,-0.6168153891598207,0.045477596220012344,-0.22107341243808698,-0.10822836311176023,1.560549250579315,0.40316224609859896,1.0317319692298836,0.9313005533507961,3.405774743304494,0.6270937515998793,1,1
12,45.18809869277623,331.43100338343896,172.32431144250793,415.3272744806022,294.062156244587,130.32635511683625,370.2510464033701,168.4690373478727,204.660693356635,253.94232800733687,4.719944333962177,0.124606088973962,0.7025028882760223,0.22304871819025093,-0.6605934786948549,-0.8318900607175104,-0.33946572127281727,-0.6485187196847986,-0.221656957534836,0.005772102906898325,5.827235129634623,2.358406310126259,2.9124702383151932,1.865174681370263e-15,1.0816548776731834,3,3
13,44.60222270661757,328.3900142529815,303.5677301074134,413.38525956358416,292.12817844522004,259.084666744417,368.9224827036134,163.45067618761678,204.2625419346615,109.86248362709428,1.5065635414463365,1.3422808605576966,1.9714317162552308,1.4327954848780076,1.0738388143328415,2.0292654192854576,1.403130603493749,-0.7566127539300913,0.1521839269210725,-0.0802836296117962,12.108827409379453,11.755232018177331,4.945306724466954,0.0,1.9118196159906373,-1,13
14,43.21683327480895,322.99069672475497,306.45528296788183,421.83474246994473,287.7091737549459,263.36420441964583,378.75786722928405,158.34983043519188,207.68627559189807,115.42507495914123,0.45338020793611955,0.004269384915506437,-0.9019091854634155,-0.023622268979625986,0.009510188134262576,-1.115054029768176,-0.07017867127707415,-0.5270287620944816,-0.4250466180537054,2.3291981544272935,2.2136479761651113,2.2984172810578527,1.9054243655759413,5.33093146182631,0.8507825352010826,1,1
15,43.2558505516436,328.3740765613802,288.61284277895845,422.9795969469831,289.8448922230173,245.35948988789005,379.7453459981148,141.24736022513238,197.85553004290645,134.70944146926624,-0.22588238147865008,-0.190512499079864,0.7105192888718173,-0.08059609814617269,-0.1615736960161897,0.8744150373591201,-0.06520553448285693,-0.7280032285391281,-0.05202407346998829,-1.728807519403413,4.5689077742622395,3.349321478193265,1.6509577828447015,5.8091963747456195,3.7815770328994307,-1,28
16,43.62719227715325,330.32302190282377,302.66608250004447,414.31025653246303,294.85196913189367,259.18316663557084,370.8328974941023,162.46990355582898,204.2354981423723,111.65065080528764,1.8242632188327783,0.05467364658336624,-0.01196970676153497,0.01478574972496896,-0.10531454412484306,-0.3165677289001729,-0.19568439016912725,-0.1747909870221247,-0.10953928436453514,0.08508912607091552,7.600005229836654,4.8729930413368905,1.610339208634856,0.0,0.8806076703311101,23,23
17,42.89021536148704,328.36282082515095,289.88819129170423,425.6931835749874,290.9719016261823,247.0137516425417,382.8049632170307,145.22674335799528,199.6084973152784,135.93845281433923,-0.17004025835433928,-0.25304465189844905,-1.6112268202767803,-0.24837809263338845,-0.20394061403545594,-1.8584829438957122,-0.2560508777012796,-1.0547414635101282,-0.5529380343111299,2.679880932044973,4.905717795994326,3.2155015602183292,2.8078384532287313,8.45565062956446,1.0553913269919961,27,27
18,69.78857499468124,357.3582444305589,329.694952234027,451.7423254650934,302.79571522648706,262.6347236887946,383.5352361214481,127.12465172166628,192.6549799383423,124.25714041144083,-2.1098204493382893,0.36631206219098666,0.4639159053096209,-0.49833993588325876,1.4772366595754436,1.5939138700616058,-0.011093758158505246,-4.030257298786346,-3.944894412798761,-2.9442818102875927,34.872814279318824,27.961106948890176,25.440137908938514,21.53479491250548,15.4815768228075,11,11
19,41.86595141296189,332.46700567716783,168.69964536756672,412.4870418039356,295.29036056293546,128.3269509873064,370.69016701111633,171.49175844013112,200.65876158006873,255.1859845978762,-0.506380373475334,-0.05332551061062992,0.038900233500726855,0.03784577748427269,0.0309371731960313,0.2303333456724748,0.09664806798217498,-0.06198498952491447,0.04640545493755095,-0.021262821777875366,1.6829808739563372,2.0072596044943767,1.2143075915743173,1.865174681370263e-15,0.5631640993777642,22,22
20,45.264479857091345,328.37032944407025,315.99054053156254,430.20709952479433,289.6639081042252,270.7394110918604,384.9709823639523,161.9921749541943,206.29766423649696,114.58557650229767,-0.2827197343930479,-0.4695846817869378,0.22178047561228081,0.18143247305823904,-0.5242021786693544,0.2940023852445136,0.22815896111796896,1.313371096505241,0.9949237788556979,0.1710534271382655,9.4339263620683,10.194234282120814,4.716190385897147,0.9557769862883897,0.9629638494962391,1,1
21,44.306139755091664,330.31491370042795,292.85704630353194,428.24915610941116,291.5245349620861,248.5553785246249,383.94544933627293,146.65248072871847,198.89993984015942,135.40177894088723,-1.085234866836451,-0.34572756052448383,-0.08712370597806621,-0.029556786009213024,-0.1631877541679121,0.0920364798270425,0.0934551792927783,0.852990233295798,0.26730633989953523,0.07877638134667721,2.8922616856100802,2.09948119645714,0.8850754524771693,2.0780890036090267,0.5783017142742988,25,25
22,61.41756304304142,352.8447287097093,324.94766992231934,446.3751602833184,305.2589235370652,266.076092244911,386.5314906425808,127.99456997269998,192.6702749686632,123.57315979741689,3.0827193299448976,1.0141298599319497,1.0972512415291644,-0.2623235075606826,0.6423478078347279,0.716187418520658,-0.7337076965327991,-1.562078856395039,-3.9964326018343685,-4.30944515658954,40.496119349485994,30.53839054547614,18.237787938468156,22.703415856645123,11.273485289738765,11,11
23,45.13202388395144,332.32413720222326,305.5428815532878,417.5892823967367,296.54452115929456,260.713621488646,372.77312970468137,161.7252218770689,203.4516694641184,112.05964631135025,-0.49977536854189564,-0.1675157226335921,-0.137519834454109,-0.16826493533478873,-0.025629919608329207,-0.05686449393359611,-0.11432313253925744,0.3042196587690602,0.09047737455814923,-0.24882470024401274,2.5828276371100154,1.6538159063066866,2.646888750686249,0.0,1.4782333141600528,32,32
24,43.01222470457167,328.8216244383469,290.29790889449197,425.92304263430105,291.19828376960487,247.2886441481257,382.91173816963277,147.40597306336156,199.6613251558224,135.64787573291653,-0.20556292677187227,-0.1435843727530296,-0.3860478764009462,-0.13042069070260465,-0.12547576350391168,-0.4172674081043062,-0.121854525788675,-0.29969941152276686,-0.09761420865898592,0.4241412013147057,3.7821936700549807,2.5183788861590255,1.9187295337964407,3.938351237302295,0.7578058780030965,26,26
25,44.8255695426306,330.75720235395346,303.3765916079116,415.12298237527324,294.5618633779051,258.72341487033293,370.4724288167361,162.2978938387149,204.43881123643814,111.75019422725127,1.6776441789744072,-0.08921504175933842,-0.12643334661692754,-0.08610627135667834,-0.19078777935225663,-0.4154881507047938,-0.28392262373837074,-0.33712871512302406,-0.22068372219512705,0.021962523300129256,4.448204570110519,4.074333784584986,1.6127340843791802,0.0,0.5315442721815598,23,23
26,44.859682588724134,323.7234441492929,157.8996173671151,397.20902290968144,285.63066621038644,115.95652309114804,352.3655740262493,172.50600604893017,199.0016703601714,251.56537669175762,2.397257845691092,0.025104194224821158,0.012964340600989221,-0.014648916264862907,-0.2869736797704704,-0.7960660541909012,-0.317974640004975,-0.04045025959675546,-0.2386492302158591,-0.007342445787882801,5.067233233741772,3.805145932339414,1.3449651591469218,1.865174681370263e-15,0.43988850451023775,-1,20
27,42.14860158009774,326.149880193907,288.78881340471116,422.9708963062372,289.11174946965616,246.6422147951416,380.8237224653933,144.94133084519567,198.80790476333917,134.25673099968685,0.39858174803634283,0.19839486206393048,0.8304957314617127,0.057190482947030497,0.12385997392544766,0.9029474145277405,0.019128684869407473,-0.10508096794735755,0.11409174113583259,-1.5789451850631606,1.9096628350243028,1.0164658752770228,0.6883803459066842,4.508249702899404,0.7282115132835767,28,28
28,43.561082158065204,328.94156580855946,293.0743689820195,427.29645520982587,290.6342522406879,249.51554591621343,383.7357089491962,145.1922411762589,199.4245474586321,134.28253789015557,-0.218604844633842,0.003707690739720576,0.7629203397457479,-0.057363545204937645,-0.01161383930738055,0.9326768254748061,-0.03888934969217536,0.09551884469735047,-0.14474936588309067,-1.8346658079039062,0.7603300920300634,0.8778591308274839,0.4626650158862976,5.5308139273618915,0.8877913586986101,29,28
29,45.33561271522481,332.3533864715011,304.8350563431255,416.8413605856508,295.84736138696235,259.7057304966759,371.7195649822497,161.50053936737922,203.18178608149285,112.0141480600867,-1.2341170574474876,-0.11952085377746027,-0.0942888307569625,-0.044735093972783135,0.05323528790641538,0.1103806205867855,0.10465326627539312,0.03630100559638692,0.08049377337912225,0.09102910115475889,2.8945161033972657,2.0835353708675615,1.9536408000924546,0.0,0.9327315786199143,-1,32
30,44.01743470624024,324.20108349882724,308.0152112760787,423.09685591518877,287.9761432693314,264.0965052357715,379.1873936126113,158.04863206494238,207.7036111459673,115.09769931607354,-0.25726613418571503,0.046239498108820595,0.46575429506467236,0.038735440170652946,-0.01071157273455503,0.5759850016460678,0.0648289841697067,0.29001926904269537,0.19217949513263857,-1.1062210658814218,0.5962353081640193,1.3189459598519808,1.5534480645689819,2.711217610286055,0.9607133611609904,1,1
31,45.85907675100962,331.78945020222596,304.482783977395,416.1325750226154,294.7874491433131,258.81129029927223,370.4610133898124,161.87511549972604,204.10583322828174,111.65204532232212,-1.3649360118539198,0.08758884472747056,-0.16785308376513214,-0.09223428599885196,0.2878206945095149,0.04454016673959163,0.06583993643007527,0.3708658549677899,0.09364742926357132,0.1145233593869755,2.0837216268600476,0.6750929026862278,2.316643656649929,0.0,0.9770585397448098,16,16
32,42.265230092312954,330.32268762447393,169.1376394841949,412.21012350364873,293.5478739155821,128.7804617952952,369.9650205084785,169.4060500136319,203.8452961966104,254.81008483996166,0.827515608484044,-0.5411263305910123,0.058391581570484255,-0.014860550735785117,-0.7359123606304928,-0.153802406918678,-0.1114371484478301,-1.3283219527042325,-0.5072894740124845,0.0061192109033935856,1.46348605663391,1.6252384397252766,5.10979476872863,1.865174681370263e-15,1.2144179377202966,4,4
33,44.384553385063334,332.60324971298724,171.63145309524631,415.1793232409836,295.7822117165602,130.5326909354607,370.8778949668369,169.26705355938057,202.57745671229725,254.97677052171207,-1.20754885227127,-0.08657723729449028,-0.2617177907131296,-0.07259331760140839,0.27979123744019035,0.4091203268621751,0.08208851296268872,0.07669177371834973,-0.09102920790446946,0.03428536883469914,2.1694406083558926,5.084678608110468,7.89729921876148,1.865174681370263e-15,0.9820508489079489,0,0
34,42.07190071179547,331.7884986462321,168.496552372406,411.79020382546133,294.8901016768954,128.22225667590783,369.7466632977776,170.99377942989062,201.08678900301803,254.8801524759274,-0.1384069136961724,0.006671563732781476,0.07239013215908296,0.07236125675910231,0.0946613644928172,0.21036855014039646,0.09254382281930722,0.06918677791678671,0.12918755896125453,-0.010088263462702342,1.7751752515700272,1.4786078835516248,1.6902564231383779,1.865174681370263e-15,0.5479011942707794,22,22
35,45.67340657019569,331.9692472198831,305.0835352265321,416.965982558123,295.00527552636646,259.57925742038253,371.47265221035326,161.8759135600046,203.61307137159267,111.89381153524899,-0.18758374779119133,-0.1435377733137681,-0.12861713479107237,-0.09824064735964763,-0.14961329264648998,-0.12169388015141522,-0.08845000165879653,0.18904126590980053,0.035046771814055834,-0.011015692394824257,3.3701611425596343,2.48516269570458,1.6610012622446575,0.0,0.7036309940908047,32,32
36,45.75806866279964,324.1076400871956,307.4698022224773,422.6504262254612,286.16275996834503,261.7554158325812,376.9622055558873,161.17734283225835,208.26565239903877,115.28098556602318,0.1958114324670297,-0.20704544566916014,0.73941827632977,0.09635900355555393,-0.3328522062131902,0.8249275870341756,0.07869490551711492,-0.03399047449241854,0.2826590917742901,-1.621020541381465,1.539127988586693,3.5627714821175758,1.548532342376647,3.515269487946046,0.6582902263443365,1,1
37,42.23498468215533,332.33856705644956,168.21378943235106,411.74604054735863,294.93585024097104,127.57189723671155,369.56713939108266,171.7029313296844,199.7880066931724,254.90371331315782,0.07778537499187937,-0.3216208061535456,-0.2984009188694373,0.004944685618718633,-0.354892347852844,-0.4346617124180602,-0.0052928267018567884,-0.1898633098664616,0.09568292988122112,0.06936253157933775,2.981792429950555,3.132585715587698,1.1841605747770567,1.865174681370263e-15,0.8631257969739126,17,17
38,41.998015501434274,331.8357233551435,168.10648651049397,410.91458554374316,294.7793771416106,127.79115740076277,368.9613024322814,171.237745626193,200.066551560962,254.42914088515235,0.22400004039576138,-0.1976838017378629,-0.2523284674399608,-0.1358521564738812,-0.2409592287935704,-0.3820757901163968,-0.17814733009420336,-0.17066082539939992,-0.3247779612783386,-0.09025217563713224,1.4394292264869966,1.5351826312624348,2.458265446323267,1.865174681370263e-15,0.8790473207777607,17,17
39,42.82228191945964,331.63791483383187,167.65158596081145,411.50994132447295,294.3317893618561,126.88673427981172,368.6971980520261,171.3520897488166,199.18981628745578,255.2410385856472,-1.1934823213586674,-0.09051907558567253,-0.16957869368335665,-0.02741665649195224,0.05504530891258644,0.1530989778615091,0.10742292464879222,0.02356794363083571,0.07100371337407291,0.038514257725201465,2.114556528431176,1.8753985112526552,0.5757016554381504,1.865174681370263e-15,1.112759359593733,21,21
40,41.59832500047602,326.4632387248895,287.89429723340186,422.93535496889893,290.06935857447115,246.30558121855827,381.33822587056216,145.30568458321076,199.54970777992992,135.15652413508678,0.7780121820337524,0.3921580914010617,-0.7927625283270257,0.08181221954399252,0.2293556023861527,-1.064240980568438,0.005290857570231265,-0.6200554482551689,-0.4712471433202413,1.9680599101189207,5.282739886855595,2.8764853364082232,2.39833094433361,5.82392823574582,0.8733940190689822,27,27
41,42.13752038467253,330.78626480897566,169.3262380866154,412.26469326435637,294.32756476741196,129.23424777824496,370.133496522277,169.6432943348822,202.71684578006884,254.48435840854233,-0.2530968984320069,0.5483196740178294,0.08377092162319014,0.052024915614839164,0.6591832823918624,0.16641844270993522,0.08697932172322335,1.1172414834456355,0.30510895061933685,-0.00504049195728539,0.6759162883819301,0.8988159574921417,5.791927716357396,1.865174681370263e-15,1.1248416417465579,9,9
42,45.606690063792435,331.4731389906474,304.1730566355804,416.32339725226876,294.20534090185237,258.6819044457239,370.83974892201246,162.25313515463282,204.24530054509668,112.15828083758358,-1.5914941169426933,-0.16497396873206127,-0.04689682899387338,-0.021563743207339094,0.09147155750588615,0.2287913718285694,0.17416903145422633,-0.0011111081962900705,0.06672415762398401,0.04828245007513999,2.500688946325323,2.081369508016998,0.949116127176282,0.0,0.4584859309375955,16,16
43,48.20094261905959,333.7842925682641,316.0032552349085,440.85175258703583,293.90964318624066,268.40718048323043,392.91651954019613,133.38710336518886,204.16005697895926,126.11248496347788,1.9030173521683453,1.3290971139875318,-0.05069598038992584,0.970756635011355,0.8598983802144411,-0.512603483047961,0.7986743190526692,1.4865813487318287,2.0739521356492796,3.8253661619311905,14.020767401548344,8.67555402309474,5.847261550914979,9.527756913763639,4.472290437273989,19,19
44,43.67884170195101,323.44209068546087,308.3598318397755,422.88845072150895,287.4641604396301,264.78491862174195,379.3065592181783,156.86935336743792,208.4180975870005,114.53012841723078,-0.12356699613199523,0.06503731359040595,-0.10843398861458602,-0.04381731163651604,0.05055725591008749,-0.11356035001284126,-0.03917144650475804,0.37895669762350837,0.041968939296900806,0.1267539806128608,0.9278084956773847,0.5204682463560589,1.8617876021002444,2.819520650574551,1.0597003138795829,1,1
45,45.62830050997371,331.6911570793893,304.08518770642684,415.79726534044863,294.4846762370309,258.584275523641,370.29578742273253,161.80025813571237,204.04569214624118,111.7133639663409,-0.015355702898984185,-0.19140635846986506,0.036984822930412775,-0.005333959792997495,-0.2148769716221498,0.046481120309652575,-0.00425609119832448,-0.21785091437137843,0.045162423230952764,-0.12109573033620048,0.8043201224632379,0.6478038011609333,2.033341565744224,0.0,0.7823036353128716,32,31
46,46.08614238783875,332.9385173646346,282.9914657567701,408.3664853195714,293.02031309722264,237.05728303987107,362.3270282992035,152.4608072085655,201.55864167918529,127.88506216003418,0.1797575797625729,0.44378409485404774,5.822340104215503,0.5189972986559743,0.07874953741621035,8.046997841623636,0.6227838864893604,-29.2548393415474,1.6889506207364868,4.960595956350671,10.68790180271315,11.437594175534333,10.575576322942993,98.2584264021539,3.4365480534866153,-1,13
47,43.12045312701428,328.3658025060643,288.17461690932373,421.5323678178369,289.6196847468222,245.081716510378,378.4739987292965,142.6982101772908,196.66061641095664,133.56034899395448,1.4774761912592536,-0.23059755799568343,0.23083790794614087,-0.10448484761389334,-0.5949714377051114,-0.00703343018603067,-0.2905788978179513,-0.48512508197665305,0.022745103139197424,-0.8016122902692617,1.8524415885433596,4.04660321454641,1.0083808435427781,2.352159658496938,0.6358685086889487,-1,24
48,42.46869158006212,332.67858640056517,169.63901131538853,412.86135832629196,295.359728713837,128.95733917277477,370.41939191854175,170.72038379888025,199.94312328115993,254.64402949514943,-0.5182173755328443,0.5472467683345514,0.16925732599358256,0.10861035480110444,0.7202728192780232,0.3960772241371018,0.17913779069618846,1.0738285863527628,0.44681386597002015,0.021127828219472122,1.4234220669386997,1.3600677196106115,4.2004244535431265,1.865174681370263e-15,0.5700426837746485,9,9
49,44.03424337232524,326.3482437346133,170.3060814251342,399.54638470896083,287.08139750068773,127.2635239806321,355.7279064131564,175.49301752586317,198.04552321652704,237.59577708414045,8.075541852914824,-0.2503869071192396,5.685046443693862,-0.3280154152211736,-1.209439087916831,5.088742207096978,-1.4585715434542712,-21.990876262441013,-1.0806141519222638,-1.9020072011561024,15.585852890107697,21.150949386957077,11.993988412276858,54.36917448344182,6.228257455087495,7,7
50,46.058399514155575,330.6752757448706,173.2223298261667,416.29933600062463,293.82549021978497,131.3117446505743,370.4676977775375,166.89421681260157,205.061751008722,254.0522179480724,-2.045236531700218,-0.18883995301238393,-0.593745721627703,-0.28898675207563734,0.07965047649270074,-0.10615954961009319,-0.06957928058978996,0.27986934704823924,0.052935402884908916,-0.09351835263342971,2.315331090044438,1.136008056478191,1.673685804258243,1.865174681370263e-15,1.1043862955772754,3,3
51,43.07396310735803,328.027098028832,293.17420296041837,426.7682431861292,290.1252444503553,250.1015716059417,383.6951598212002,145.11643045349092,199.45795006613162,133.64217204088422,0.04742358066180086,-0.07807204351537331,0.6185601097936393,-0.09020896770697265,-0.12313059135418955,0.7172430824551348,-0.105465054092568,-0.027102893963265554,-0.14919740274818452,-1.6405791772178093,1.2833078927895238,1.098456911111061,0.3395162636157637,3.864000040660877,0.4328616835289045,29,28
52,43.279170342970865,323.1787204736013,308.3970891397296,422.640179020676,287.6652626514774,265.23944098436976,379.48313637741404,156.7948077077318,207.54642855014177,114.27147901894169,-0.2585230498153068,-0.01920577038793765,-0.914063399793194,-0.12802545699915663,0.1542098731066573,-1.004350775879416,-0.10019505472536651,-0.6796607550433241,-0.35252047597504343,1.9813829399488427,1.9851594681290616,2.764933183128484,2.1992361855062277,5.721797395611943,0.9773101721849339,1,1
53,41.83639509475229,326.94435230172604,286.3871240893878,420.16182430387653,289.69626606749165,244.5618165532352,378.3510704343432,144.96789632372796,197.22417035324517,133.87129411142126,0.8291418665996673,-0.37869108383970296,0.07120122827621164,-0.15761530693120196,-0.37789337496263586,-0.05926109921707462,-0.2722658947767958,-0.06777519735011438,0.03750243552303406,-0.6602731760008052,2.6967368270091443,1.7417444959718331,1.351836416593248,3.1456428827532052,1.2231884990350148,-1,24
54,42.21739882936607,330.9751920743965,166.5569784504169,410.08953520426854,293.5901256448913,125.94871669174644,367.94543437622264,171.87241172821973,199.27411846349082,254.8272298098444,2.681048714158929,-0.29215982470266716,-0.6300562482294685,-0.18239550239781682,-0.6062346177539107,-1.6385649022561957,-0.5187603011425306,0.15943912039824795,-0.3782239821882487,-0.07517383222916865,4.769812565473275,4.902338952484209,1.8643910117679834,1.865174681370263e-15,1.152776407666174,12,12
55,45.23681604704486,331.22475482403485,304.2767030129902,415.75616197954963,295.32135351166676,259.3225014569265,370.81060112136305,162.08438722177937,203.77199803327537,111.4885741038086,2.3778747826492803,0.21100811651081486,0.34659766340963316,0.2666746933035741,-0.05103396843121612,0.001811708416214211,0.01348464528144451,-0.6751319419614766,-0.23313535452448791,0.04134477980084831,4.8358568065229575,3.475965260306939,2.195222956728622,0.0,1.1907577275605699,18,18
56,43.30178019799808,328.38065086554553,291.47280413432975,426.5883794147838,290.5603973288696,248.20428500287565,383.28839085502705,140.1165972218636,199.25430016316446,135.46812769204848,-0.47737882365386775,-0.04408538260401697,0.18884493657301604,-0.12821243498097812,-0.031237452222021837,0.3019420487645543,-0.08942700365818107,-0.33508996150202885,-0.12551114007005865,-0.7951286550524357,1.8235932491151612,1.4635479903612325,1.363258786020342,5.386533562409835,0.7248790915426817,-1,28
