,0,1,2,3,4,5,6
0,0,0,0,0,0,0,0
1,0,556,0,0,0,3,8
2,0,0,954,1,0,3,6
3,0,0,2,834,0,6,8
4,0,0,0,0,1,1,0
5,0,4,2,9,1,946,11
6,0,8,6,6,0,13,198
