,B-SOiD labels,Start time (frames),Run lengths
0,0,0,246
1,6,246,1
2,0,247,3
3,6,250,2
4,1,252,6
5,4,258,1
6,0,259,3
7,1,262,1
8,4,263,1
9,0,264,276
10,6,540,4
11,0,544,1
12,6,545,1
13,4,546,2
14,0,548,2
15,6,550,1
16,4,551,1
17,6,552,3
18,5,555,1
19,0,556,2
20,5,558,3
21,0,561,1
22,5,562,2
23,0,564,30
24,6,594,6
25,5,600,3
26,6,603,1
27,5,604,2
28,6,606,6
29,2,612,6
30,6,618,6
31,2,624,3
32,6,627,1
33,2,628,2
34,6,630,6
35,2,636,2
36,6,638,1168
