,0,1,2,3,4,5,6
0,555,1,0,0,0,2,6
1,0,5,0,0,2,0,0
2,0,0,9,0,0,0,4
3,0,0,0,0,0,0,0
4,3,0,0,0,1,0,1
5,3,0,0,0,0,6,2
6,2,1,4,0,2,3,1193
