,B-SOiD labels,Start time (frames),Run lengths
0,1,0,306
1,3,306,1
2,1,307,6
3,3,313,1
4,1,314,4
5,3,318,1
6,1,319,3
7,3,322,14
8,4,336,1
9,3,337,3
10,4,340,20
11,3,360,72
12,0,432,1
13,3,433,2
14,0,435,9
15,2,444,1
16,0,445,2
17,2,447,3
18,3,450,1
19,2,451,2
20,3,453,15
21,0,468,570
22,2,1038,1
23,0,1039,2
24,2,1041,309
25,4,1350,1
26,2,1351,5
27,3,1356,1
28,4,1357,1
29,3,1358,1
30,4,1359,1
31,3,1360,2
32,4,1362,414
